rule_name,rule_mode,source_esto_flow,source_esto_product,source_ninth_sectors,source_ninth_sub1sectors,source_ninth_sub2sectors,source_ninth_sub3sectors,source_ninth_sub4sectors,source_ninth_fuels,source_ninth_subfuels,create_esto,create_ninth,target_sectors,target_sub1sectors,target_sub2sectors,target_sub3sectors,target_sub4sectors,target_fuels,target_subfuels,target_esto_flow,target_esto_product,notes,active
synthetic_hydrogen_loss_own_use_9th,manual,,17 Electricity,,,,,,,,FALSE,TRUE,10_losses_and_own_use,10_01_own_use,10_01_19_hydrogen_transformation,x,x,17_electricity,x,10.01.19 Hydrogen transformation,17 Electricity,Create 9th hydrogen own-use electricity row because ESTO and 9th counterparts are missing.,TRUE
synthetic_hydrogen_loss_own_use_esto,manual,,17 Electricity,,,,,,,,TRUE,FALSE,10_losses_and_own_use,10_01_own_use,10_01_19_hydrogen_transformation,x,x,17_electricity,x,10.01.19 Hydrogen transformation,17 Electricity,Create ESTO hydrogen own-use electricity row because ESTO and 9th counterparts are missing.,TRUE
synthetic_hydrogen_output_ammonia_esto,derived,,16.10 Ammonia,,,,,,16_others,16_x_ammonia,TRUE,FALSE,,,,,,,,,,Create synthetic ESTO rows for ammonia by deriving all applicable ESTO flows from the canonical pairs for 16_x_ammonia.,TRUE
synthetic_hydrogen_output_efuel_esto,derived,,16.11 E-fuel,,,,,,16_others,16_x_efuel,TRUE,FALSE,,,,,,,,,,Create synthetic ESTO rows for e-fuel by deriving all applicable ESTO flows from the canonical pairs for 16_x_efuel.,TRUE
synthetic_hydrogen_output_hydrogen_esto,derived,,16.12 Hydrogen,,,,,,16_others,16_x_hydrogen,TRUE,FALSE,,,,,,,,,,Create synthetic ESTO rows for hydrogen by deriving all applicable ESTO flows from the canonical pairs for 16_x_hydrogen.,TRUE
synthetic_datacentres_esto,manual,,17 Electricity,,,,,,,,TRUE,FALSE,,,,,,,,16.01.01 Datacentres,17 Electricity,Create zero ESTO base rows for Datacentres after CPS split.,TRUE
synthetic_hydrogen_loss_own_use_esto,manual,,17 Electricity,,,,,,,,TRUE,FALSE,10_losses_and_own_use,10_01_own_use,10_01_19_hydrogen_transformation,x,x,17_electricity,x,10.01.19 Hydrogen transformation,17 Electricity,Create ESTO hydrogen own-use electricity row because ESTO and 9th counterparts are missing.,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_02_smr_wo_ccs,08_01_natural_gas,TRUE,FALSE,,,,,,,,09.13.02 SMR wo CCS,08.01 Natural gas,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_03_smr_w_ccs,08_01_natural_gas,TRUE,FALSE,,,,,,,,09.13.03 SMR w CCS,08.01 Natural gas,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_01_electrolysers,16_x_ammonia,TRUE,FALSE,,,,,,,,09.13.03 SMR w CCS,16.10 Ammonia,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_02_smr_wo_ccs,16_x_efuel,TRUE,FALSE,,,,,,,,09.13.03 SMR w CCS,16.11 E-fuel,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_03_smr_w_ccs,16_x_hydrogen,TRUE,FALSE,,,,,,,,09.13.03 SMR w CCS,16.12 Hydrogen,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_02_smr_wo_ccs,16_x_ammonia,TRUE,FALSE,,,,,,,,09.13.02 SMR wo CCS,16.10 Ammonia,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_02_smr_wo_ccs,16_x_efuel,TRUE,FALSE,,,,,,,,09.13.02 SMR wo CCS,16.11 E-fuel,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_02_smr_wo_ccs,16_x_hydrogen,TRUE,FALSE,,,,,,,,09.13.02 SMR wo CCS,16.12 Hydrogen,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_01_electrolysers,16_x_ammonia,TRUE,FALSE,,,,,,,,09.13.01 Electrolysers,16.10 Ammonia,created for v3 of dashboard,TRUE
synthetic_hydrogen_transformation_esto,manual,,,,,,,,09_13_01_electrolysers,16_x_efuel,TRUE,FALSE,,,,,,,,09.13.01 Electrolysers,16.11 E-fuel,created for v3 of dashboard,TRUE
