flows,products,is_subtotal,structural_origin,structural_rule_ids,structural_parent_flow,structural_parent_product,rollup_modes,rollup_group_ids
01 Production,01.01 Coking coal,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,01.02 Other bituminous coal,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,01.03 Sub-bituminous coal,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,01.04 Anthracite,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,01.05 Lignite,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,01.99 Coal nonspecified,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.01 Coke oven coke,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.02 Gas coke,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.03 Coke oven gas,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.04 Blast furnace gas,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.05 Other recovered gases,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.06 Patent fuel,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.07 Coal tar,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,02.08 BKB/PB,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,03 Peat,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,04 Peat products,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,05 Oil shale and oil sands,False,active_mapping,ninth_pairs_to_esto_pairs,,,,
01 Production,06.01 Crude oil,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
01 Production,06.02 Natural gas liquids,False,active_mapping,leap_combined_esto|ninth_pairs_to_esto_pairs,,,,
