comparison_scope,component_esto_flow,component_esto_product,current_component_signature,compiled_component_signature,membership_status
esto_extended_leap,01 Production,01.01 Coking coal,01 Production::01.01 Coking coal,01 Production::01.01 Coking coal,unchanged
esto_extended_leap,01 Production,01.02 Other bituminous coal,01 Production::01.02 Other bituminous coal,01 Production::01.02 Other bituminous coal,unchanged
esto_extended_leap,01 Production,01.03 Sub-bituminous coal,01 Production::01.03 Sub-bituminous coal,01 Production::01.03 Sub-bituminous coal,unchanged
esto_extended_leap,01 Production,01.04 Anthracite,01 Production::01.04 Anthracite,01 Production::01.04 Anthracite,unchanged
esto_extended_leap,01 Production,01.05 Lignite,01 Production::01.05 Lignite,01 Production::01.05 Lignite,unchanged
esto_extended_leap,01 Production,01.99 Coal nonspecified,01 Production::01.99 Coal nonspecified,01 Production::01.99 Coal nonspecified,unchanged
esto_extended_leap,01 Production,02.01 Coke oven coke,01 Production::02.01 Coke oven coke,01 Production::02.01 Coke oven coke,unchanged
esto_extended_leap,01 Production,02.02 Gas coke,01 Production::02.02 Gas coke,01 Production::02.02 Gas coke,unchanged
esto_extended_leap,01 Production,02.03 Coke oven gas,01 Production::02.03 Coke oven gas,01 Production::02.03 Coke oven gas,unchanged
esto_extended_leap,01 Production,02.04 Blast furnace gas,01 Production::02.04 Blast furnace gas,01 Production::02.04 Blast furnace gas,unchanged
esto_extended_leap,01 Production,02.05 Other recovered gases,01 Production::02.05 Other recovered gases,01 Production::02.05 Other recovered gases,unchanged
esto_extended_leap,01 Production,02.06 Patent fuel,01 Production::02.06 Patent fuel,01 Production::02.06 Patent fuel,unchanged
esto_extended_leap,01 Production,02.07 Coal tar,01 Production::02.07 Coal tar,01 Production::02.07 Coal tar,unchanged
esto_extended_leap,01 Production,02.08 BKB/PB,01 Production::02.08 BKB/PB,01 Production::02.08 BKB/PB,unchanged
esto_extended_leap,01 Production,03 Peat,01 Production::03 Peat,01 Production::03 Peat,unchanged
esto_extended_leap,01 Production,04 Peat products,01 Production::04 Peat products,01 Production::04 Peat products,unchanged
esto_extended_leap,01 Production,05 Oil shale and oil sands,01 Production::05 Oil shale and oil sands,01 Production::05 Oil shale and oil sands,unchanged
esto_extended_leap,01 Production,06.01 Crude oil,01 Production::06.01 Crude oil,01 Production::06.01 Crude oil,unchanged
esto_extended_leap,01 Production,06.02 Natural gas liquids,01 Production::06.02 Natural gas liquids,01 Production::06.02 Natural gas liquids,unchanged
esto_extended_leap,01 Production,06.03 Refinery feedstocks,01 Production::06.03 Refinery feedstocks,01 Production::06.03 Refinery feedstocks,unchanged
esto_extended_leap,01 Production,06.04 Additives/ oxygenates,01 Production::06.04 Additives/ oxygenates,01 Production::06.04 Additives/ oxygenates,unchanged
esto_extended_leap,01 Production,06.05 Other hydrocarbons,01 Production::06.05 Other hydrocarbons,01 Production::06.05 Other hydrocarbons,unchanged
esto_extended_leap,01 Production,07.01 Motor gasoline,01 Production::07.01 Motor gasoline,01 Production::07.01 Motor gasoline,unchanged
esto_extended_leap,01 Production,07.02 Aviation gasoline,01 Production::07.02 Aviation gasoline,01 Production::07.02 Aviation gasoline,unchanged
esto_extended_leap,01 Production,07.03 Naphtha,01 Production::07.03 Naphtha,01 Production::07.03 Naphtha,unchanged
esto_extended_leap,01 Production,07.04 Gasoline type jet fuel,01 Production::07.04 Gasoline type jet fuel,01 Production::07.04 Gasoline type jet fuel,unchanged
esto_extended_leap,01 Production,07.05 Kerosene type jet fuel,01 Production::07.05 Kerosene type jet fuel,01 Production::07.05 Kerosene type jet fuel,unchanged
esto_extended_leap,01 Production,07.06 Kerosene,01 Production::07.06 Kerosene,01 Production::07.06 Kerosene,unchanged
esto_extended_leap,01 Production,07.07 Gas/diesel oil,01 Production::07.07 Gas/diesel oil,01 Production::07.07 Gas/diesel oil,unchanged
esto_extended_leap,01 Production,07.08 Fuel oil,01 Production::07.08 Fuel oil,01 Production::07.08 Fuel oil,unchanged
esto_extended_leap,01 Production,07.09 LPG,01 Production::07.09 LPG,01 Production::07.09 LPG,unchanged
esto_extended_leap,01 Production,07.10 Refinery gas (not liquefied),01 Production::07.10 Refinery gas (not liquefied),01 Production::07.10 Refinery gas (not liquefied),unchanged
esto_extended_leap,01 Production,07.11 Ethane,01 Production::07.11 Ethane,01 Production::07.11 Ethane,unchanged
esto_extended_leap,01 Production,07.12 White spirit SBP,01 Production::07.12 White spirit SBP,01 Production::07.12 White spirit SBP,unchanged
esto_extended_leap,01 Production,07.13 Lubricants,01 Production::07.13 Lubricants,01 Production::07.13 Lubricants,unchanged
esto_extended_leap,01 Production,07.14 Bitumen,01 Production::07.14 Bitumen,01 Production::07.14 Bitumen,unchanged
esto_extended_leap,01 Production,07.15 Paraffin waxes,01 Production::07.15 Paraffin waxes,01 Production::07.15 Paraffin waxes,unchanged
esto_extended_leap,01 Production,07.16 Petroleum coke,01 Production::07.16 Petroleum coke,01 Production::07.16 Petroleum coke,unchanged
esto_extended_leap,01 Production,07.17 Other products,01 Production::07.17 Other products,01 Production::07.17 Other products,unchanged
esto_extended_leap,01 Production,07.99 PetProd nonspecified,01 Production::07.99 PetProd nonspecified,01 Production::07.99 PetProd nonspecified,unchanged
esto_extended_leap,01 Production,08.01 Natural gas,01 Production::08.01 Natural gas,01 Production::08.01 Natural gas,unchanged
esto_extended_leap,01 Production,08.02 LNG,01 Production::08.02 LNG,01 Production::08.02 LNG,unchanged
esto_extended_leap,01 Production,08.03 Gas works gas,01 Production::08.03 Gas works gas,01 Production::08.03 Gas works gas,unchanged
esto_extended_leap,01 Production,08.99 Gas nonspecified,01 Production::08.99 Gas nonspecified,01 Production::08.99 Gas nonspecified,unchanged
esto_extended_leap,01 Production,09 Nuclear,01 Production::09 Nuclear,01 Production::09 Nuclear,unchanged
esto_extended_leap,01 Production,10 Hydro,01 Production::10 Hydro,01 Production::10 Hydro,unchanged
esto_extended_leap,01 Production,11 Geothermal,01 Production::11 Geothermal,01 Production::11 Geothermal,unchanged
esto_extended_leap,01 Production,12.01 of which: Photovoltaics,01 Production::12.01 of which: Photovoltaics,01 Production::12.01 of which: Photovoltaics,unchanged
esto_extended_leap,01 Production,12.99 Solar nonspecified,01 Production::12.99 Solar nonspecified,01 Production::12.99 Solar nonspecified,unchanged
esto_extended_leap,01 Production,"13 Tide, wave, ocean","01 Production::13 Tide, wave, ocean","01 Production::13 Tide, wave, ocean",unchanged
esto_extended_leap,01 Production,14 Wind,01 Production::14 Wind,01 Production::14 Wind,unchanged
esto_extended_leap,01 Production,15.01 Fuelwood & woodwaste,01 Production::15.01 Fuelwood & woodwaste,01 Production::15.01 Fuelwood & woodwaste,unchanged
esto_extended_leap,01 Production,15.02 Bagasse,01 Production::15.02 Bagasse,01 Production::15.02 Bagasse,unchanged
esto_extended_leap,01 Production,15.03 Charcoal,01 Production::15.03 Charcoal,01 Production::15.03 Charcoal,unchanged
esto_extended_leap,01 Production,15.04 Black liquor,01 Production::15.04 Black liquor,01 Production::15.04 Black liquor,unchanged
esto_extended_leap,01 Production,15.05 Other biomass,01 Production::15.05 Other biomass,01 Production::15.05 Other biomass,unchanged
esto_extended_leap,01 Production,16.01 Biogas,01 Production::16.01 Biogas,01 Production::16.01 Biogas,unchanged
esto_extended_leap,01 Production,16.02 Industrial waste,01 Production::16.02 Industrial waste,01 Production::16.02 Industrial waste,unchanged
esto_extended_leap,01 Production,16.03 Municipal solid waste (renewable),01 Production::16.03 Municipal solid waste (renewable),01 Production::16.03 Municipal solid waste (renewable),unchanged
esto_extended_leap,01 Production,16.04 Municipal solid waste (non-renewable),01 Production::16.04 Municipal solid waste (non-renewable),01 Production::16.04 Municipal solid waste (non-renewable),unchanged
esto_extended_leap,01 Production,16.05 Biogasoline,01 Production::16.05 Biogasoline,01 Production::16.05 Biogasoline,unchanged
esto_extended_leap,01 Production,16.06 Biodiesel,01 Production::16.06 Biodiesel,01 Production::16.06 Biodiesel,unchanged
esto_extended_leap,01 Production,16.07 Bio jet kerosene,01 Production::16.07 Bio jet kerosene,01 Production::16.07 Bio jet kerosene,unchanged
esto_extended_leap,01 Production,16.08 Other liquid biofuels,01 Production::16.08 Other liquid biofuels,01 Production::16.08 Other liquid biofuels,unchanged
esto_extended_leap,01 Production,16.09 Other sources,01 Production::16.09 Other sources,01 Production::16.09 Other sources,unchanged
esto_extended_leap,01 Production,16.10 Ammonia,01 Production::16.10 Ammonia,01 Production::16.10 Ammonia,unchanged
