mapping_name,source_sheet,workbook_row_number,source_system,source_flow,source_product,target_system,target_flow,target_product,target_pair_is_subtotal,comparison_scope,notes,diagnostic_reason
leap_to_ninth,leap_combined_ninth,1338,LEAP,Heat plant interim/Heat plant interim,Bitumen,NINTH,09_x_heat_plants,,False,NINTH,,active_pair_row_has_blank_key
leap_to_ninth,leap_combined_ninth,2255,LEAP,Gas works plants/Gas works plants,Blast furnace gas,NINTH,09_06_01_gas_works_plants_incl_own_use,,False,NINTH,,active_pair_row_has_blank_key
leap_to_ninth,leap_combined_ninth,2256,LEAP,Gas works plants/Gas works plants,Other recovered gases,NINTH,09_06_01_gas_works_plants_incl_own_use,,False,NINTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2341,NINTH,,,ESTO,06 Stock changes,01.01 Coking coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2342,NINTH,,,ESTO,06 Stock changes,01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2343,NINTH,,,ESTO,06 Stock changes,01.03 Sub-bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2344,NINTH,,,ESTO,06 Stock changes,01.04 Anthracite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2345,NINTH,,,ESTO,06 Stock changes,01.05 Lignite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2346,NINTH,,,ESTO,06 Stock changes,02.01 Coke oven coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2347,NINTH,,,ESTO,06 Stock changes,02.08 BKB/PB,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2348,NINTH,,,ESTO,06 Stock changes,06.01 Crude oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2349,NINTH,,,ESTO,06 Stock changes,06.02 Natural gas liquids,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2350,NINTH,,,ESTO,06 Stock changes,06.03 Refinery feedstocks,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2351,NINTH,,,ESTO,06 Stock changes,06.05 Other hydrocarbons,False,BOTH,,active_pair_row_has_blank_key
