comparison_scope,target_system,target_pair,current_component_signature,compiled_component_signature,component_status
BOTH,ESTO,01 Production::01.01 Coking coal,BOTH:ESTO:01 Production::01.01 Coking coal,BOTH:ESTO:01 Production::01.01 Coking coal,unchanged
BOTH,ESTO,01 Production::01.02 Other bituminous coal,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.03 Sub-bituminous coal,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.05 Lignite,BOTH:ESTO:01 Production::01.05 Lignite,BOTH:ESTO:01 Production::01.05 Lignite,unchanged
BOTH,ESTO,01 Production::01.99 Coal nonspecified,BOTH:ESTO:01 Production::01.99 Coal nonspecified,BOTH:ESTO:01 Production::01.99 Coal nonspecified,unchanged
BOTH,ESTO,01 Production::02.01 Coke oven coke,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.02 Gas coke,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.03 Coke oven gas,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.04 Blast furnace gas,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.05 Other recovered gases,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.06 Patent fuel,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.07 Coal tar,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::03 Peat,BOTH:ESTO:01 Production::03 Peat,BOTH:ESTO:01 Production::03 Peat,unchanged
BOTH,ESTO,01 Production::04 Peat products,BOTH:ESTO:01 Production::04 Peat products,BOTH:ESTO:01 Production::04 Peat products,unchanged
BOTH,ESTO,01 Production::05 Oil shale and oil sands,BOTH:ESTO:01 Production::05 Oil shale and oil sands,BOTH:ESTO:01 Production::05 Oil shale and oil sands,unchanged
BOTH,ESTO,01 Production::06.01 Crude oil,BOTH:ESTO:01 Production::06.01 Crude oil,BOTH:ESTO:01 Production::06.01 Crude oil,unchanged
BOTH,ESTO,01 Production::06.02 Natural gas liquids,BOTH:ESTO:01 Production::06.02 Natural gas liquids,BOTH:ESTO:01 Production::06.02 Natural gas liquids,unchanged
BOTH,ESTO,01 Production::06.03 Refinery feedstocks,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::06.04 Additives/ oxygenates,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::07.01 Motor gasoline,BOTH:ESTO:01 Production::07.01 Motor gasoline,BOTH:ESTO:01 Production::07.01 Motor gasoline,unchanged
