economy,file,row_count,source_fingerprint
01_AUS,AUS TGT 20260820 CHATGPT.xlsx,114026,3bd59fe5eed9945e688ef6fa3483f982b0a6aba8d19a005c12d230c9b9cb7dd5
01_AUS,REF 1808.xlsx,127897,2feb47bac8dfe23cc4061edf333d046a00cce14d2d3deed81f937dd8e7b4010d
02_BD,1908 REF BD energy balance ver2.xlsx,68832,e23552b105559114a6ba1d6c6732dc0fa60acf606538c56df132a553965b23d0
05_PRC,PRC REF 2408.xlsx,120024,6a89cd6d35cacf4ebe7fa6b96c0f0dbc978b9bfe1d33105697e7be2ca2cae06b
05_PRC,PRC TGT 2708.xlsx,119952,2075dc75d36f07dca3a55a62d46233635e220673a843b1958bfc9bd8ad2de66c
10_MAS,2008_MAS_TGT.xlsx,70416,d2de1732fde8b637599dd1be94eb37c92b1e62e9054a4db5a761806923dce2c2
12_NZ,NZ tgt 1808 daniel.xlsx,105120,d3b086e4982bb93710f435bc5856436a71fe3019fc22705938215a62cf52889b
15_PHL,PHL TGT 1708.xlsx,87768,62e154ecc35cae15eb6e848135aba260eeec50f6adfabf41fbaa482b22d5351c
19_THA,THA TGT 1908.xlsx,112680,45463b3ad34fcbc765ee7b604ef86843af6a35303048a481633e015de86ca128
20_USA,1808 REF USA energy balance.xlsx,136728,e2932c239bf9b74e3cf8e38dfe7e753b305edfc36532fa72a1422193ac1d1bfd
20_USA,2508 TGT USA energy balance.xlsx,134568,30013d4907025729f40af104e74dddf53f60339eef187b216fea25ed4d1963ba
21_VN,1908_VN_TGT.xlsx,76392,d01e0ebeecb687dbf2c156e4c5f174b396bc3e0fda0b8dfe70bed2178dc1a21c
