template_file,region,row_count,unique_branch_count,source_fingerprint,status
AUS clean slate 28_07.xlsx,Australia,10056,876,7110092ffd1c0fe3667b322c729e8fe327b50a456eceed70686326bb0d952d82,structural_authority_candidate
BD clean slate 28_07.xlsx,Brunei Darussalam,10159,885,128a281ef2bfc745b182f78a7df5c004b2e9e9789b3744b36b35ef6114b6621a,structural_authority_candidate
leap_export_template 03_CDA_COMP_GEN.xlsx,Canada,9182,714,b69af4a84d2f52122c035ae7d79b8e08a2959e10c607b76e81a47433b6f11904,structural_authority_candidate
leap_export_template 04_CHL_COMP_GEN.xlsx,Chile,9182,714,3dea443a4c0a17332b0775cc9ff96ef5bee48654d8c4ffab4c0db77b8b61b8a4,structural_authority_candidate
leap_export_template 06_HKC_COMP_GEN.xlsx,"Hong Kong, China",9182,714,2fd67e204ec16a0e11656bc9e3f0f1e056581fb9cb06ea4da7c22f2d16ddf641,structural_authority_candidate
leap_export_template 07_INA_COMP_GEN.xlsx,Indonesia,9182,714,e27155e51091ffce6a0f0d1f44955de172c84443f31e0b4fa64330b04c55d906,structural_authority_candidate
leap_export_template 08_JPN_COMP_GEN.xlsx,Japan,9182,714,a7b17e4cac914bcaa15bc79e2405e14ad46381b41f69e997335ed9871bcddd2d,structural_authority_candidate
leap_export_template 09_ROK_COMP_GEN.xlsx,Republic of Korea,9182,714,d0fa50682bb7696df8a8c5fbec154b0ab3355fe0afc69ca86510b81d889ab3a1,structural_authority_candidate
leap_export_template 14_PE_COMP_GEN.xlsx,Peru,9182,714,34d7adf7a501d2af1f981eb96b318c9d7c4091cea540465ec4bc36293871c130,structural_authority_candidate
leap_export_template 16_RUS_COMP_GEN.xlsx,Russia,9182,714,d0dbc63156e09b7fef6bc5ff227f42d05d479728be9130ea22cfe64043f4d1bc,structural_authority_candidate
leap_export_template 17_SGP_COMP_GEN.xlsx,Singapore,9182,714,89a852b71aa7f6a476eaa9469ff3127751d70a868a2f8fbf6d68af4e175970d3,structural_authority_candidate
leap_export_template 18_CT_COMP_GEN.xlsx,Chinese Taipei,9182,714,37db20a0cda7b87b0be51bed043000e978733de3d052ccc126fee2a1b3607122,structural_authority_candidate
MAS clean slate 28_07.xlsx,Malaysia,10159,885,dae982a7c4a298b56aa4f75f77eb3303a2533c68468761b82cc9a7052b16c2c0,structural_authority_candidate
MEX clean slate 28_07.xlsx,Mexico,9948,864,378c66f0085b7504cd193c58f939fb6391e8add68e38323e7dd279d0199d9a43,structural_authority_candidate
NZ clean slate 27_07.xlsx,New Zealand,10159,885,372dc79483f7a39398c5dc9f8caf4d26ab29eea4914de468abe79df586a94514,structural_authority_candidate
PHL clean slate 28_07.xlsx,The Philippines,10138,884,bbc640355a76a31031a60fb5dd3277f4c9066ebdae92e0a3a8ffe039eb75696e,structural_authority_candidate
PNG clean slate 28_07.xlsx,Papua New Guinea,10159,885,561d5118fa5649e7126f89b5436faad457633074136668115b5abde62f06ba31,structural_authority_candidate
PRC clean slate 28_07.xlsx,China,10165,887,529b44a8f90283f2882c93b046006fac39b525af5b8e8b8012ee156ca0ebdef9,structural_authority_candidate
THA clean slate 28_07.xlsx,Thailand,10159,885,886c0646f64bdf214243a6768a7beee58152e75370be716414d119c78dd757ac,structural_authority_candidate
USA clean slate 28_07.xlsx,United States,10849,933,c88902ab483d7a698659446fa7e4ff2444647c504e517e2215f2360babefd785,structural_authority_candidate
VN clean slate 28_07.xlsx,Viet Nam,10159,885,c502e540df16ed6517272eadd3c0cd3d5b1e261a2bb985fe339cad43157b289d,structural_authority_candidate
