rollup_group_id,rolled_esto_flow,component_flow_count,component_flows,direct_leap_mapping_count,valid_direct_leap_mapping_count,all_direct_mappings_have_two_valid_components,review_status
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",2,09.01.01.01 Coal power|09.02.01.01 Coal power,9,0,False,needs_review
"power_process::09.01.01.02,09.02.01.02 Coal power CCS","09.01.01.02,09.02.01.02 Coal power CCS",2,09.01.01.02 Coal power CCS|09.02.01.02 Coal power CCS,2,0,False,needs_review
"power_process::09.01.01.03,09.02.01.03 Coal hydrogen blended","09.01.01.03,09.02.01.03 Coal hydrogen blended",2,09.01.01.03 Coal hydrogen blended|09.02.01.03 Coal hydrogen blended,3,0,False,needs_review
"power_process::09.01.01.04,09.02.01.04 Gas power","09.01.01.04,09.02.01.04 Gas power",2,09.01.01.04 Gas power|09.02.01.04 Gas power,3,0,False,needs_review
"power_process::09.01.01.05,09.02.01.05 Gas power CCS","09.01.01.05,09.02.01.05 Gas power CCS",2,09.01.01.05 Gas power CCS|09.02.01.05 Gas power CCS,2,0,False,needs_review
"power_process::09.01.01.06,09.02.01.06 Geothermal","09.01.01.06,09.02.01.06 Geothermal",2,09.01.01.06 Geothermal|09.02.01.06 Geothermal,2,0,False,needs_review
"power_process::09.01.01.07,09.02.01.07 Hydro","09.01.01.07,09.02.01.07 Hydro",2,09.01.01.07 Hydro|09.02.01.07 Hydro,2,0,False,needs_review
"power_process::09.01.01.08,09.02.01.08 Nuclear","09.01.01.08,09.02.01.08 Nuclear",2,09.01.01.08 Nuclear|09.02.01.08 Nuclear,2,0,False,needs_review
"power_process::09.01.01.09,09.02.01.09 Others","09.01.01.09,09.02.01.09 Others",2,09.01.01.09 Others|09.02.01.09 Others,9,0,False,needs_review
"power_process::09.01.01.10,09.02.01.10 Oil","09.01.01.10,09.02.01.10 Oil",2,09.01.01.10 Oil|09.02.01.10 Oil,15,0,False,needs_review
"power_process::09.01.01.11,09.02.01.11 Solar","09.01.01.11,09.02.01.11 Solar",2,09.01.01.11 Solar|09.02.01.11 Solar,3,0,False,needs_review
"power_process::09.01.01.12,09.02.01.12 Solar CSP","09.01.01.12,09.02.01.12 Solar CSP",2,09.01.01.12 Solar CSP|09.02.01.12 Solar CSP,3,0,False,needs_review
"power_process::09.01.01.13,09.02.01.13 Solar utility PV","09.01.01.13,09.02.01.13 Solar utility PV",2,09.01.01.13 Solar utility PV|09.02.01.13 Solar utility PV,2,0,False,needs_review
"power_process::09.01.01.14,09.02.01.14 Solar rooftop","09.01.01.14,09.02.01.14 Solar rooftop",2,09.01.01.14 Solar rooftop|09.02.01.14 Solar rooftop,3,0,False,needs_review
"power_process::09.01.01.15,09.02.01.15 Solid biomass","09.01.01.15,09.02.01.15 Solid biomass",2,09.01.01.15 Solid biomass|09.02.01.15 Solid biomass,5,0,False,needs_review
"power_process::09.01.01.17,09.02.01.17 Wind","09.01.01.17,09.02.01.17 Wind",2,09.01.01.17 Wind|09.02.01.17 Wind,2,0,False,needs_review
"power_process::09.01.01.18,09.02.01.18 Wind offshore","09.01.01.18,09.02.01.18 Wind offshore",2,09.01.01.18 Wind offshore|09.02.01.18 Wind offshore,2,0,False,needs_review
"power_process::09.01.02.01,09.02.02.01 Coal CHP","09.01.02.01,09.02.02.01 Coal CHP",2,09.01.02.01 Coal CHP|09.02.02.01 Coal CHP,6,6,True,representable_by_separate_axes
"power_process::09.01.02.02,09.02.02.02 Gas CHP","09.01.02.02,09.02.02.02 Gas CHP",2,09.01.02.02 Gas CHP|09.02.02.02 Gas CHP,2,2,True,representable_by_separate_axes
"power_process::09.01.02.03,09.02.02.03 Others CHP","09.01.02.03,09.02.02.03 Others CHP",2,09.01.02.03 Others CHP|09.02.02.03 Others CHP,10,9,False,needs_review
"power_process::09.01.02.04,09.02.02.04 Petroleum products CHP","09.01.02.04,09.02.02.04 Petroleum products CHP",2,09.01.02.04 Petroleum products CHP|09.02.02.04 Petroleum products CHP,7,7,True,representable_by_separate_axes
"power_process::09.01.02.05,09.02.02.05 Solid biomass CHP","09.01.02.05,09.02.02.05 Solid biomass CHP",2,09.01.02.05 Solid biomass CHP|09.02.02.05 Solid biomass CHP,1,0,False,needs_review
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",2,09.01.03.01 Coal HP|09.02.03.01 Coal HP,6,5,False,needs_review
"power_process::09.01.03.02,09.02.03.02 Gas HP","09.01.03.02,09.02.03.02 Gas HP",2,09.01.03.02 Gas HP|09.02.03.02 Gas HP,3,3,True,representable_by_separate_axes
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",2,09.01.03.03 Others HP|09.02.03.03 Others HP,7,6,False,needs_review
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",2,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,8,8,True,representable_by_separate_axes
"power_process::09.01.03.05,09.02.03.05 Solid biomass HP","09.01.03.05,09.02.03.05 Solid biomass HP",2,09.01.03.05 Solid biomass HP|09.02.03.05 Solid biomass HP,1,0,False,needs_review
