rollup_group_id,rolled_esto_flow,source_flow,source_product,target_product,component_flows,base_component_statuses,extended_component_statuses,both_component_pairs_valid_in_at_least_one_esto_registry,prototype_semantics,source_delivery_rule
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Anthracite,01.04 Anthracite,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Blast furnace gas,02.04 Blast furnace gas,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Coke oven coke,02.01 Coke oven coke,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Coke oven gas,02.03 Coke oven gas,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Electricity,17 Electricity,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Lignite,01.05 Lignite,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Other bituminous coal,01.02 Other bituminous coal,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Other recovered gases,02.05 Other recovered gases,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.01,09.02.01.01 Coal power","09.01.01.01,09.02.01.01 Coal power",Electricity Generation/Processes/Coal,Sub bituminous coal,01.03 Sub-bituminous coal,09.01.01.01 Coal power|09.02.01.01 Coal power,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.02,09.02.01.02 Coal power CCS","09.01.01.02,09.02.01.02 Coal power CCS",Electricity Generation/Processes/Coal_CCUS,Electricity,17 Electricity,09.01.01.02 Coal power CCS|09.02.01.02 Coal power CCS,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.02,09.02.01.02 Coal power CCS","09.01.01.02,09.02.01.02 Coal power CCS",Electricity Generation/Processes/Coal_CCUS,Sub bituminous coal,01.03 Sub-bituminous coal,09.01.01.02 Coal power CCS|09.02.01.02 Coal power CCS,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.03,09.02.01.03 Coal hydrogen blended","09.01.01.03,09.02.01.03 Coal hydrogen blended",Electricity Generation/Processes/Coal_H2_blended,Electricity,17 Electricity,09.01.01.03 Coal hydrogen blended|09.02.01.03 Coal hydrogen blended,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.01.03,09.02.01.03 Coal hydrogen blended","09.01.01.03,09.02.01.03 Coal hydrogen blended",Electricity Generation/Processes/Coal_H2_blended,Hydrogen,16.12 Hydrogen,09.01.01.03 Coal hydrogen blended|09.02.01.03 Coal hydrogen blended,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
