mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,relationship_status,target_pair_registry_status
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Anthracite,ESTO,16.03-16.04 Agriculture and fishing,01.04 Anthracite,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Aviation gasoline,ESTO,16.03-16.04 Agriculture and fishing,07.02 Aviation gasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,BKB and PB,ESTO,16.03-16.04 Agriculture and fishing,02.08 BKB/PB,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biodiesel,ESTO,16.03-16.04 Agriculture and fishing,16.06 Biodiesel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogas,ESTO,16.03-16.04 Agriculture and fishing,16.01 Biogas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogasoline,ESTO,16.03-16.04 Agriculture and fishing,16.05 Biogasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Blast furnace gas,ESTO,16.03-16.04 Agriculture and fishing,02.04 Blast furnace gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Charcoal,ESTO,16.03-16.04 Agriculture and fishing,15.03 Charcoal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coal tar,ESTO,16.03-16.04 Agriculture and fishing,02.07 Coal tar,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven coke,ESTO,16.03-16.04 Agriculture and fishing,02.01 Coke oven coke,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven gas,ESTO,16.03-16.04 Agriculture and fishing,02.03 Coke oven gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Electricity,ESTO,16.03-16.04 Agriculture and fishing,17 Electricity,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuel oil,ESTO,16.03-16.04 Agriculture and fishing,07.08 Fuel oil,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuelwood and woodwaste,ESTO,16.03-16.04 Agriculture and fishing,15.01 Fuelwood & woodwaste,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas and diesel oil,ESTO,16.03-16.04 Agriculture and fishing,07.07 Gas/diesel oil,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas works gas,ESTO,16.03-16.04 Agriculture and fishing,08.03 Gas works gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Geothermal,ESTO,16.03-16.04 Agriculture and fishing,11 Geothermal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Heat,ESTO,16.03-16.04 Agriculture and fishing,18 Heat,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Hydrogen,ESTO,16.03-16.04 Agriculture and fishing,16.12 Hydrogen,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Industrial waste,ESTO,16.03-16.04 Agriculture and fishing,16.02 Industrial waste,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene,ESTO,16.03-16.04 Agriculture and fishing,07.06 Kerosene,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene type jet fuel,ESTO,16.03-16.04 Agriculture and fishing,07.05 Kerosene type jet fuel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,LPG,ESTO,16.03-16.04 Agriculture and fishing,07.09 LPG,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Lignite,ESTO,16.03-16.04 Agriculture and fishing,01.05 Lignite,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Motor gasoline,ESTO,16.03-16.04 Agriculture and fishing,07.01 Motor gasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste non renewable,ESTO,16.03-16.04 Agriculture and fishing,16.04 Municipal solid waste (non-renewable),current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste renewable,ESTO,16.03-16.04 Agriculture and fishing,16.03 Municipal solid waste (renewable),current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Natural gas,ESTO,16.03-16.04 Agriculture and fishing,08.01 Natural gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other biomass,ESTO,16.03-16.04 Agriculture and fishing,15.05 Other biomass,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other bituminous coal,ESTO,16.03-16.04 Agriculture and fishing,01.02 Other bituminous coal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other recovered gases,ESTO,16.03-16.04 Agriculture and fishing,02.05 Other recovered gases,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Patent fuel,ESTO,16.03-16.04 Agriculture and fishing,02.06 Patent fuel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Solar nonspecified,ESTO,16.03-16.04 Agriculture and fishing,12.99 Solar nonspecified,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Sub bituminous coal,ESTO,16.03-16.04 Agriculture and fishing,01.03 Sub-bituminous coal,current_relationship_not_compiled,absent
