mapping_name,comparison_scope,source_system,source_flow,target_system,target_flow,relationship_semantics,notes
leap_to_esto,BOTH,LEAP,Agriculture and fishing,ESTO,16.03-16.04 Agriculture and fishing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,ESTO,09.08.04 BKB/PB plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,ESTO,09.08.02 Blast furnaces (including own use),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings,ESTO,16.01-16.02 Buildings,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Residential,ESTO,16.02 Residential,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services,ESTO,16.01 Commercial and public services,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services/Data_Centers,ESTO,16.01.01 Datacentres,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services/Educational,ESTO,16.01.99 Commercial and public services unallocated,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services/Hospitals,ESTO,16.01.99 Commercial and public services unallocated,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services/Others_Unspecified,ESTO,16.01.99 Commercial and public services unallocated,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Buildings/Services/Service Buildings,ESTO,16.01.99 Commercial and public services unallocated,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,CHP interim/CHP interim,ESTO,"09.01.02,09.02.02 CHP plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,CHP plants,ESTO,"09.01.02,09.02.02 CHP plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Charcoal processing/Charcoal processing,ESTO,09.11 Charcoal processing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Chemical heat for electricity production/Chemical heat for electricity production,ESTO,09.05 Chemical heat for electricity production,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coal transformation,ESTO,09.08 Coal transformation,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coke ovens/Coke ovens,ESTO,09.08.01 Coke ovens (including own use),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Demand\All demand aggregated\International transport,ESTO,04-05 International transport (bunkers),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Demand\All demand aggregated\Other sector,ESTO,16.03-16.05 Other sector (all demand aggregate),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Demand\All demand aggregated\Road,ESTO,15.02 Road,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Demand\All demand aggregated\Transport non road,ESTO,"15.01,15.03-15.06 Transport non-road",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Electric boilers/Electric boilers,ESTO,09.04 Electric boilers,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Electricity Generation,ESTO,"09.01.01,09.02.01 Electricity plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Electricity interim/Electricity interim,ESTO,"09.01.01,09.02.01 Electricity plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Exports,ESTO,03 Exports,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas processing plants,ESTO,09.06 Gas processing plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas to liquids plants/Gas to liquids plants,ESTO,09.06.04 Gas-to-liquids plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas works plants/Gas works plants,ESTO,09.06.01 Gas works plants (including own use),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Heat plant interim/Heat plant interim,ESTO,"09.01.03,09.02.03 Heat plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Heat plants,ESTO,"09.01.03,09.02.03 Heat plants",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Hydrogen transformation,ESTO,09.13 Hydrogen transformation,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Hydrogen transformation/Electrolysers,ESTO,09.13.01 Electrolysers,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Hydrogen transformation/SMR with CCS,ESTO,09.13.03 SMR w CCS,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Imports,ESTO,02 Imports,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry,ESTO,14 Industry sector,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Construction,ESTO,14.02 Construction,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing,ESTO,14.03 Manufacturing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Chemical,ESTO,14.03.02 Chemical (incl. petrochemical),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Food beverages and tobacco,ESTO,"14.03.07 Food, beverages and tobacco",one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Iron and steel,ESTO,14.03.01 Iron and steel,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Machinery,ESTO,14.03.06 Machinery,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Non ferrous metals,ESTO,14.03.03 Non ferrous metals,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Non metallic mineral products,ESTO,14.03.04 Non-metallic mineral products,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Non specified industry,ESTO,14.03.11 Non-specified industry,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Pulp paper and printing,ESTO,"14.03.08 Pulp, paper and printing",one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Textiles and leather,ESTO,14.03.10 Textiles and leather,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Transportation equipment,ESTO,14.03.05 Transportation equipment,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Manufacturing/Wood and wood products,ESTO,14.03.09 Wood and wood products,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industry/Mining and quarrying,ESTO,14.01 Mining and quarrying,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,International transport,ESTO,04-05 International transport (bunkers),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,LNG regasification/Regasification,ESTO,09.06.02.02 Regasification,one_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,LNG regasification/Regasification,ESTO,09.06.02.01 Liquefaction,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Liquefaction coal to oil/Liquefaction coal to oil,ESTO,09.08.05 Liquefaction (coal to oil),one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Liquefaction/regasification plants,ESTO,09.06.02 Liquefaction/regasification plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,NG Liquefaction/Liquefaction,ESTO,09.06.02.01 Liquefaction,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,NG Liquefaction/NG Liquefaction,ESTO,09.06.02.01 Liquefaction,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Natural gas blending plants/Natural gas blending plants,ESTO,09.06.03 Natural gas blending plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Non specified transformation/Non specified transformation,ESTO,09.12 Non-specified transformation,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Non-energy use,ESTO,17 Non-energy use,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Oil Refining/Oil Refining,ESTO,09.07 Oil refineries,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Coal mines,ESTO,10.01.06 Coal mines,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Electricity CHP and heat plants,ESTO,"10.01.01 Electricity, CHP and heat plants",one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Liquefaction and regasification plants,ESTO,10.01.03 Liquefaction/regasification plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Non specified own uses,ESTO,10.01.17 Non-specified own uses,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Oil and gas extraction,ESTO,10.01.12 Oil and gas extraction,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Oil refineries,ESTO,10.01.11 Oil refineries,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Pump storage plants,ESTO,10.01.13 Pump storage plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other loss and own use/Transmission and distribution loss,ESTO,10.02 Transmission and distribution losses,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other sector,ESTO,16.03-16.05 Other sector (all demand aggregate),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other sector/Agriculture,ESTO,16.03 Agriculture,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other sector/Fishing,ESTO,16.04 Fishing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other sector/Non specified others,ESTO,16.05 Non-specified others,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Patent fuel plants/Patent fuel plants,ESTO,09.08.03 Patent fuel plants,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Petrochemical industry/Petrochemical industry,ESTO,09.09 Petrochemical industry,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Power,ESTO,09.01-09.02 Power sector,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Production,ESTO,01 Production,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Road,ESTO,15.02 Road,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Total Primary Supply,ESTO,07 Total primary energy supply,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Total final consumption,ESTO,12 Total final consumption,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Total final energy consumption,ESTO,13 Total final energy consumption,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Total transformation - no transfers,ESTO,09 Total transformation sector,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transfers,ESTO,08 Transfers,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transmission and Distribution,ESTO,10.02 Transmission and distribution losses,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport,ESTO,15 Transport sector,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road,ESTO,"15.01,15.03-15.06 Transport non-road",many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Freight non road/Air,ESTO,15.01 Domestic air transport,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Freight non road/Rail,ESTO,15.03 Rail,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Freight non road/Shipping,ESTO,15.04 Domestic navigation,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/International transport/Air,ESTO,05 International aviation bunkers,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/International transport/Shipping,ESTO,04 International marine bunkers,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Nonspecified transport,ESTO,15.06 Non-specified transport,one_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Nonspecified transport,ESTO,15.02 Road,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Nonspecified transport,ESTO,15.03 Rail,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Air,ESTO,15.01 Domestic air transport,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Rail,ESTO,15.03 Rail,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,ESTO,15.04 Domestic navigation,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Transport non road/Pipeline transport,ESTO,15.05 Pipeline transport,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,ESTO_EXTENDED,LEAP,CHP plants/Processes/Coal CHP,ESTO,09.01.02.01 Coal CHP,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Agriculture and fishing,NINTH,16_02_agriculture_and_fishing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings,NINTH,16_01_buildings,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Residential,NINTH,16_01_02_residential,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,NINTH,16_01_03_ai_training,one_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,NINTH,16_01_04_traditional_data_centres,one_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Educational,NINTH,16_01_01_commercial_and_public_services,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Hospitals,NINTH,16_01_01_commercial_and_public_services,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Others_Unspecified,NINTH,16_01_01_commercial_and_public_services,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Buildings/Services/Service Buildings,NINTH,16_01_01_commercial_and_public_services,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,CHP interim/CHP interim,NINTH,09_02_chp_plants,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,CHP plants,NINTH,09_02_chp_plants,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Charcoal processing/Charcoal processing,NINTH,09_11_charcoal_processing,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Chemical heat for electricity production/Chemical heat for electricity production,NINTH,09_05_chemical_heat_for_electricity_production,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Coal transformation,NINTH,09_08_coal_transformation_incl_own_use,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\Buildings,NINTH,16_01_buildings,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\Industry,NINTH,14_industry_sector,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\International transport,NINTH,04-05 International transport (bunkers),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\Other sector,NINTH,16_02-16_05 Other sector (all demand aggregate),many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\Road,NINTH,15_02_road,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_ninth,NINTH,LEAP,Demand\All demand aggregated\Transport non road,NINTH,"15_01,15_03-15_06 Transport non-road",many_to_one,Derived from active reviewed pair mappings; prototype only.
