mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Anthracite,ESTO,16.03-16.04 Agriculture and fishing,01.04 Anthracite,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Aviation gasoline,ESTO,16.03-16.04 Agriculture and fishing,07.02 Aviation gasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,BKB and PB,ESTO,16.03-16.04 Agriculture and fishing,02.08 BKB/PB,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biodiesel,ESTO,16.03-16.04 Agriculture and fishing,16.06 Biodiesel,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogas,ESTO,16.03-16.04 Agriculture and fishing,16.01 Biogas,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogasoline,ESTO,16.03-16.04 Agriculture and fishing,16.05 Biogasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Blast furnace gas,ESTO,16.03-16.04 Agriculture and fishing,02.04 Blast furnace gas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Charcoal,ESTO,16.03-16.04 Agriculture and fishing,15.03 Charcoal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coal tar,ESTO,16.03-16.04 Agriculture and fishing,02.07 Coal tar,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven coke,ESTO,16.03-16.04 Agriculture and fishing,02.01 Coke oven coke,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven gas,ESTO,16.03-16.04 Agriculture and fishing,02.03 Coke oven gas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Electricity,ESTO,16.03-16.04 Agriculture and fishing,17 Electricity,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuel oil,ESTO,16.03-16.04 Agriculture and fishing,07.08 Fuel oil,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuelwood and woodwaste,ESTO,16.03-16.04 Agriculture and fishing,15.01 Fuelwood & woodwaste,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas and diesel oil,ESTO,16.03-16.04 Agriculture and fishing,07.07 Gas/diesel oil,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas works gas,ESTO,16.03-16.04 Agriculture and fishing,08.03 Gas works gas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Geothermal,ESTO,16.03-16.04 Agriculture and fishing,11 Geothermal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Heat,ESTO,16.03-16.04 Agriculture and fishing,18 Heat,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Hydrogen,ESTO,16.03-16.04 Agriculture and fishing,16.12 Hydrogen,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Industrial waste,ESTO,16.03-16.04 Agriculture and fishing,16.02 Industrial waste,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene,ESTO,16.03-16.04 Agriculture and fishing,07.06 Kerosene,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene type jet fuel,ESTO,16.03-16.04 Agriculture and fishing,07.05 Kerosene type jet fuel,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,LPG,ESTO,16.03-16.04 Agriculture and fishing,07.09 LPG,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Lignite,ESTO,16.03-16.04 Agriculture and fishing,01.05 Lignite,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
