mapping_name,comparison_scope,source_system,source_product,target_system,target_product,relationship_semantics,notes
leap_to_esto,BOTH,LEAP,Anthracite,ESTO,01.04 Anthracite,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Aviation gasoline,ESTO,07.02 Aviation gasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,BKB and PB,ESTO,02.08 BKB/PB,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biodiesel,ESTO,16.06 Biodiesel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biogas,ESTO,16.01 Biogas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Biogasoline,ESTO,16.05 Biogasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Blast furnace gas,ESTO,02.04 Blast furnace gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Charcoal,ESTO,15.03 Charcoal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coal tar,ESTO,02.07 Coal tar,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coke oven coke,ESTO,02.01 Coke oven coke,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coke oven gas,ESTO,02.03 Coke oven gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Electricity,ESTO,17 Electricity,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Fuel oil,ESTO,07.08 Fuel oil,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Fuelwood and woodwaste,ESTO,15.01 Fuelwood & woodwaste,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas and diesel oil,ESTO,07.07 Gas/diesel oil,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Gas works gas,ESTO,08.03 Gas works gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Geothermal,ESTO,11 Geothermal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Heat,ESTO,18 Heat,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Hydrogen,ESTO,16.12 Hydrogen,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Industrial waste,ESTO,16.02 Industrial waste,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Kerosene,ESTO,07.06 Kerosene,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Kerosene type jet fuel,ESTO,07.05 Kerosene type jet fuel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,LPG,ESTO,07.09 LPG,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Lignite,ESTO,01.05 Lignite,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Motor gasoline,ESTO,07.01 Motor gasoline,many_to_many,Derived from active reviewed pair mappings; prototype only.
