mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,current_target_count,compiled_target_count,exact_target_count,missing_target_count,extra_target_count,reproduction_status
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Anthracite,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Aviation gasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,BKB and PB,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biodiesel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Biogasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Blast furnace gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Charcoal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coal tar,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven coke,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Coke oven gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Electricity,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Fuelwood and woodwaste,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas and diesel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Gas works gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Geothermal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Heat,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Hydrogen,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Industrial waste,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Kerosene type jet fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,LPG,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Lignite,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Motor gasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste non renewable,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste renewable,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Natural gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other biomass,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other bituminous coal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other recovered gases,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Patent fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Solar nonspecified,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Sub bituminous coal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Anthracite,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,BKB and PB,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Blast furnace gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coal tar,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coke oven coke,ESTO,1,1,0,1,1,missing_and_extra_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coke oven gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coking coal,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Electricity,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Fuel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Gas and diesel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Industrial waste,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Kerosene,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,LPG,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Lignite,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Natural gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other bituminous coal,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other products,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other recovered gases,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Patent fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Peat,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Peat products,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Petroleum coke,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Sub bituminous coal,ESTO,1,1,0,1,1,missing_and_extra_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Anthracite,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Blast furnace gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coal tar,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coke oven coke,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coke oven gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coking coal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Electricity,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Fuel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Natural gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Other bituminous coal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Other recovered gases,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Patent fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Anthracite,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Aviation gasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,BKB and PB,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Bagasse,ESTO,2,0,0,2,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Biodiesel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Biogas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Biogasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Blast furnace gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Charcoal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Coal tar,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Coke oven coke,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Coke oven gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Electricity,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Fuel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Fuelwood and woodwaste,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Gas and diesel oil,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Gas works gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Geothermal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Heat,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Hydrogen,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Industrial waste,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Kerosene,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Kerosene type jet fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,LPG,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Lignite,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Motor gasoline,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Municipal solid waste non renewable,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Municipal solid waste renewable,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Natural gas,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Other biomass,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Other recovered gases,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Patent fuel,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Peat,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Peat products,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Solar nonspecified,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings,Sub bituminous coal,ESTO,1,0,0,1,0,missing_current_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Anthracite,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,BKB and PB,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,Bagasse,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biodiesel,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biogas,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biogasoline,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,Charcoal,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Coke oven gas,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Electricity,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuel oil,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuelwood and woodwaste,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas and diesel oil,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas works gas,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Geothermal,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Heat,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Kerosene,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,LPG,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Lignite,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Motor gasoline,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Natural gas,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Other biomass,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Other bituminous coal,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,Patent fuel,ESTO,1,1,1,0,0,lossless_without_override
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat products,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Solar nonspecified,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Residential,Sub bituminous coal,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Services,Anthracite,ESTO,1,2,1,0,1,extra_factorised_targets
leap_to_esto,BOTH,LEAP,Buildings/Services,Aviation gasoline,ESTO,1,2,1,0,1,extra_factorised_targets
