category,metric,value
relationship_reproduction,current_relationship_not_compiled,2641
relationship_reproduction,extra_factorised_relationship,1132
relationship_reproduction,exact_relationship_match,5008
source_pair_reproduction,extra_factorised_targets,929
source_pair_reproduction,lossless_without_override,3474
source_pair_reproduction,missing_and_extra_targets,124
source_pair_reproduction,missing_current_targets,2313
esto_vintage_delta,status_changed,123
esto_vintage_delta,unchanged,8364
ninth_scenario_delta,added,1
ninth_scenario_delta,status_changed,168
ninth_scenario_delta,unchanged,12601
product_context_dependence,unresolved_flow_qualified_product_semantics,46
common_membership_axis_only,component_membership_changed,2880
common_membership_axis_only,extra_in_compiled,306
common_membership_axis_only,missing_from_compiled,4004
common_membership_axis_only,unchanged,2942
common_membership_after_overrides,unchanged,9826
